onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.006	3.982	4.168	3.0	survey_medley	reverse	I wish I had more self-discipline.	66,89,71,82,77	3.162	brief	Q15	s358	False
10.077	3.982	15.919	2.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	66,89	5.842	impulsive_venture	Q39	s358	False
20.371	3.982	26.122	4.0	survey_medley	reverse	As I get older, I begin to experience time as limited.	66,89,71,82,77	5.751	future_time	Q31	s358	False
32.161	3.982	35.607	4.0	survey_medley	forward	I am good at resisting temptation.	66,89,71,82,77	3.446	brief	Q09	s358	False
41.368	3.982	47.166	1.0	survey_medley	forward	I tend to act without thinking when I am really excited.	66,89,71,82	5.798	upps	Q37	s358	False
50.846	3.982	52.894	3.0	survey_medley	forward	I am diligent.	66,89,71,82,77	2.048	grit	Q08	s358	False
60.8	3.982	65.268	4.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	4.468	grit	Q05	s358	False
72.659	3.982	75.675	1.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	66,89,71,82	3.016	upps	Q35	s358	False
81.864	3.982	84.815	5.0	survey_medley	reverse	I often act without thinking through all the alternatives.	66,89,71,82,77	2.951	brief	Q21	s358	False
93.383	3.982	96.626	4.0	survey_medley	reverse	I have trouble concentrating.	66,89,71,82,77	3.243	brief	Q18	s358	False
102.384	3.982	105.899	4.0	survey_medley	forward	Most of my life lies ahead of me.	66,89,71,82,77	3.515	future_time	Q25	s358	False
111.523	3.982	116.803	3.0	survey_medley	reverse	I have a hard time breaking bad habits.	66,89,71,82,77	5.28	brief	Q10	s358	False
121.137	3.982	127.186	3.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	6.049	grit	Q06	s358	False
130.751	3.982	130.75	0.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82	n/a	upps	Q32	s358	True
141.045	3.982	145.465	3.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	4.42	grit	Q01	s358	False
151.136	3.982	153.825	5.0	survey_medley	reverse	I have the sense that time is running out.	66,89,71,82,77	2.689	future_time	Q29	s358	False
160.206	3.982	163.29	3.0	survey_medley	forward	I refuse things that are bad for me.	66,89,71,82,77	3.084	brief	Q14	s358	False
170.364	3.982	175.359	1.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82	4.995	upps	Q33	s358	False
180.25	3.982	183.085	2.0	survey_medley	forward	My future seems infinite to me.	66,89,71,82,77	2.835	future_time	Q26	s358	False
189.932	3.982	193.355	1.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	66,89,71,82	3.423	upps	Q34	s358	False
199.478	3.982	202.312	3.0	survey_medley	forward	I am able to work effectively toward long-term goals.	66,89,71,82,77	2.834	brief	Q19	s358	False
210.793	3.982	213.867	5.0	survey_medley	reverse	I say inappropriate things.	66,89,71,82,77	3.074	brief	Q12	s358	False
220.407	3.982	224.073	1.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82	3.666	upps	Q36	s358	False
229.613	3.982	232.217	5.0	survey_medley	forward	I expect that I will set many new goals in the future.	66,89,71,82,77	2.604	future_time	Q23	s358	False
239.159	3.982	241.105	5.0	survey_medley	forward	My future is filled with possibilities.	66,89,71,82,77	1.946	future_time	Q24	s358	False
248.638	3.982	250.828	3.0	survey_medley	forward	People would say that I have iron self-discipline.	66,89,71,82,77	2.19	brief	Q16	s358	False
257.844	3.982	262.84	2.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	66,89	4.996	impulsive_venture	Q40	s358	False
267.933	3.982	272.813	2.0	survey_medley	forward	I could do anything I want in the future.	66,89,71,82,77	4.88	future_time	Q27	s358	False
