onset	duration	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
3.01	5.124	5.124	8.134	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	5.124	to_hand	poldrack-single-stim	s603	False
8.136	0.1	0.922	9.058	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	0.922	to_board	poldrack-single-stim	s603	False
9.06	0.1	2.153	11.213	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	2.153	to_hand	poldrack-single-stim	s603	False
11.213	0.1	1.039	12.252	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	1.039	to_board	poldrack-single-stim	s603	False
12.254	0.1	1.002	13.256	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.002	to_hand	poldrack-single-stim	s603	False
13.258	0.1	4.055	17.313	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	4.055	to_board	poldrack-single-stim	s603	False
17.314	0.1	1.856	19.17	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	1.856	to_hand	poldrack-single-stim	s603	False
19.172	0.1	0.739	19.911	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.739	to_board	poldrack-single-stim	s603	False
19.917	1.0	2.5	19.916	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s603	False
22.419	6.631	6.631	29.05	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	6.631	to_hand	poldrack-single-stim	s603	False
29.051	0.1	0.856	29.907	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.856	to_board	poldrack-single-stim	s603	False
29.909	0.1	1.245	31.154	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	1.245	to_hand	poldrack-single-stim	s603	False
31.155	0.1	0.562	31.717	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.562	to_board	poldrack-single-stim	s603	False
31.719	0.1	2.079	33.798	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	2.079	to_hand	poldrack-single-stim	s603	False
33.8	0.1	0.725	34.525	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.725	to_board	poldrack-single-stim	s603	False
34.53	1.0	2.1	34.529	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s603	False
36.632	10.477	10.477	47.109	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	10.477	to_hand	poldrack-single-stim	s603	False
47.11	0.1	0.765	47.875	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.765	to_board	poldrack-single-stim	s603	False
47.877	0.1	1.965	49.842	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.965	to_hand	poldrack-single-stim	s603	False
49.844	0.1	0.768	50.612	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.768	to_board	poldrack-single-stim	s603	False
50.615	0.1	1.236	51.851	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.236	to_hand	poldrack-single-stim	s603	False
51.853	0.1	0.354	52.207	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.354	to_board	poldrack-single-stim	s603	False
52.21	1.0	2.2	52.209	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s603	False
54.412	5.456	5.456	59.868	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	5.456	to_hand	poldrack-single-stim	s603	False
59.869	0.1	0.518	60.387	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.518	to_board	poldrack-single-stim	s603	False
60.39	0.1	1.54	61.93	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.54	to_hand	poldrack-single-stim	s603	False
61.931	0.1	0.39	62.321	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.39	to_board	poldrack-single-stim	s603	False
62.323	0.1	1.076	63.399	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	1.076	to_hand	poldrack-single-stim	s603	False
63.401	0.1	0.606	64.007	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.606	to_board	poldrack-single-stim	s603	False
64.011	1.0	2.0	64.01	0	UA_without_intermediate	practice	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s603	False
68.017	8.898	8.898	76.915	1	PA_without_intermediate	test	ward_and_allport	89	0.0	8.898	to_hand	poldrack-single-stim	s603	False
76.917	0.1	0.715	77.632	0	PA_without_intermediate	test	ward_and_allport	82	0.0	0.715	to_board	poldrack-single-stim	s603	False
77.634	0.1	2.465	80.099	0	PA_without_intermediate	test	ward_and_allport	89	0.0	2.465	to_hand	poldrack-single-stim	s603	False
80.1	0.1	0.724	80.824	0	PA_without_intermediate	test	ward_and_allport	82	0.0	0.724	to_board	poldrack-single-stim	s603	False
80.825	0.1	1.352	82.177	0	PA_without_intermediate	test	ward_and_allport	89	0.0	1.352	to_hand	poldrack-single-stim	s603	False
82.179	0.1	0.345	82.524	0	PA_without_intermediate	test	ward_and_allport	71	0.0	0.345	to_board	poldrack-single-stim	s603	False
82.529	1.0	3.088	82.528	0	PA_without_intermediate	test	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s603	False
85.619	4.714	4.714	90.333	1	PA_with_intermediate	test	ward_and_allport	71	1.0	4.714	to_hand	poldrack-single-stim	s603	False
90.334	0.1	0.285	90.619	0	PA_with_intermediate	test	ward_and_allport	82	1.0	0.285	to_board	poldrack-single-stim	s603	False
90.621	0.1	1.872	92.493	0	PA_with_intermediate	test	ward_and_allport	71	1.0	1.872	to_hand	poldrack-single-stim	s603	False
92.495	0.1	0.455	92.95	0	PA_with_intermediate	test	ward_and_allport	89	1.0	0.455	to_board	poldrack-single-stim	s603	False
92.952	0.1	1.374	94.326	0	PA_with_intermediate	test	ward_and_allport	82	1.0	1.374	to_hand	poldrack-single-stim	s603	False
94.328	0.1	0.487	94.815	0	PA_with_intermediate	test	ward_and_allport	71	1.0	0.487	to_board	poldrack-single-stim	s603	False
94.819	1.0	2.0	94.818	0	PA_with_intermediate	test	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s603	False
96.822	5.586	5.586	102.408	1	PA_without_intermediate	test	ward_and_allport	89	2.0	5.586	to_hand	poldrack-single-stim	s603	False
102.41	0.1	1.189	103.599	0	PA_without_intermediate	test	ward_and_allport	82	2.0	1.189	to_board	poldrack-single-stim	s603	False
103.602	0.1	3.571	107.173	0	PA_without_intermediate	test	ward_and_allport	89	2.0	3.571	to_hand	poldrack-single-stim	s603	False
107.174	0.1	0.856	108.03	0	PA_without_intermediate	test	ward_and_allport	82	2.0	0.856	to_board	poldrack-single-stim	s603	False
108.032	0.1	1.677	109.709	0	PA_without_intermediate	test	ward_and_allport	82	2.0	1.677	to_hand	poldrack-single-stim	s603	False
