onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.506	1.5	5.975	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.469	probe	AX	s627	False
8.781	1.5	10.15	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.369	probe	AX	s627	False
12.785	1.5	14.306	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.521	probe	AY	s627	False
17.74	1.5	19.211	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.471	probe	AY	s627	False
22.015	1.5	23.357	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.342	probe	AX	s627	False
26.426	1.5	27.8	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.374	probe	AX	s627	False
30.838	1.5	32.184	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.346	probe	AX	s627	False
35.93	1.5	37.465	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.535	probe	AY	s627	False
39.933	1.5	41.246	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.313	probe	BY	s627	False
43.936	1.5	45.307	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.371	probe	BY	s627	False
47.94	1.5	49.387	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.447	probe	AX	s627	False
52.079	1.5	53.409	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.33	probe	BX	s627	False
56.628	1.5	58.089	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.461	probe	AX	s627	False
60.903	1.5	62.207	2.588	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.304	probe	BX	s627	False
65.994	1.5	67.611	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.617	probe	AY	s627	False
69.998	1.5	71.354	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.356	probe	AX	s627	False
74.954	1.5	76.184	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.23	probe	BY	s627	False
79.093	1.5	80.434	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s627	False
83.232	1.5	84.617	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.385	probe	AX	s627	False
87.236	1.5	88.53	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.294	probe	BY	s627	False
91.377	1.5	92.766	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.389	probe	AX	s627	False
95.38	1.5	96.843	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.463	probe	AY	s627	False
100.064	1.5	101.445	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.381	probe	AX	s627	False
104.067	1.5	106.849	1.908	AX	0.0	89.0	dot_pattern_expectancy	71.0	1.782	probe	AX	s627	False
108.478	1.5	109.934	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.456	probe	BY	s627	False
112.618	1.5	113.986	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.368	probe	BY	s627	False
116.758	1.5	118.106	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.348	probe	AX	s627	False
120.897	1.5	122.265	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.368	probe	AX	s627	False
124.9	1.5	126.233	2.044	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.333	probe	BY	s627	False
129.448	1.5	130.962	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.514	probe	AY	s627	False
134.132	1.5	135.601	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.469	probe	AY	s627	False
138.272	1.5	139.774	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.502	probe	AY	s627	False
142.547	1.5	143.905	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.358	probe	BY	s627	False
146.55	1.5	147.89	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.34	probe	BX	s627	False
150.961	1.5	152.326	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.365	probe	AX	s627	False
155.509	1.5	156.893	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.384	probe	AX	s627	False
159.648	1.5	161.038	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.39	probe	AX	s627	False
163.924	1.5	165.266	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.342	probe	AX	s627	False
168.063	1.5	169.316	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.253	probe	BX	s627	False
172.339	1.5	173.732	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.393	probe	AX	s627	False
186.845	1.5	188.127	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.282	probe	BY	s627	False
190.984	1.5	192.461	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.477	probe	AY	s627	False
194.988	1.5	196.335	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.347	probe	AX	s627	False
199.535	1.5	200.854	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.319	probe	BY	s627	False
203.81	1.5	205.12	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.31	probe	BX	s627	False
207.95	1.5	209.302	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.352	probe	AX	s627	False
212.089	1.5	213.425	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.336	probe	AX	s627	False
216.092	1.5	217.502	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.41	probe	AX	s627	False
220.095	1.5	221.575	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.48	probe	AY	s627	False
224.643	1.5	226.113	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.47	probe	AX	s627	False
229.599	1.5	230.993	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.394	probe	AX	s627	False
234.01	1.5	235.443	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.433	probe	AX	s627	False
238.014	1.5	239.389	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.375	probe	AX	s627	False
242.425	1.5	243.749	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.324	probe	BX	s627	False
247.108	1.5	248.456	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.348	probe	AX	s627	False
251.112	1.5	252.436	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.324	probe	BY	s627	False
255.524	1.5	256.896	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.372	probe	BX	s627	False
260.344	1.5	261.822	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.478	probe	AY	s627	False
265.164	1.5	266.499	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.335	probe	BX	s627	False
269.304	1.5	270.793	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.489	probe	AY	s627	False
273.307	1.5	274.638	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.331	probe	BY	s627	False
277.718	1.5	279.069	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.351	probe	AX	s627	False
281.721	1.5	283.216	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.495	probe	AY	s627	False
286.541	1.5	288.037	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.496	probe	AX	s627	False
290.544	1.5	291.991	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.447	probe	AY	s627	False
295.772	1.5	297.222	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.45	probe	AX	s627	False
299.776	1.5	301.372	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.596	probe	AX	s627	False
303.915	1.5	305.246	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.331	probe	AX	s627	False
308.054	1.5	309.415	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.361	probe	AX	s627	False
312.329	1.5	313.627	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.298	probe	BY	s627	False
316.605	1.5	318.087	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.482	probe	AX	s627	False
